,Period,Province,Product,Quantity
510,201702,DENİZLİ,PRODUCT_A,111
511,201702,DENİZLİ,PRODUCT_B,1744
512,201702,DENİZLİ,PRODUCT_C,574
513,201702,DENİZLİ,PRODUCT_V,185
514,201702,DENİZLİ,PRODUCT_X,288
515,201702,DÜZCE,PRODUCT_A,45
516,201702,DÜZCE,PRODUCT_B,131
517,201702,DÜZCE,PRODUCT_C,333
518,201702,DÜZCE,PRODUCT_V,3
519,201702,DÜZCE,PRODUCT_X,97
520,201702,DİYARBAKIR,PRODUCT_A,104
521,201702,DİYARBAKIR,PRODUCT_B,653
522,201702,DİYARBAKIR,PRODUCT_C,625
523,201702,DİYARBAKIR,PRODUCT_V,0
524,201702,DİYARBAKIR,PRODUCT_X,130
525,201702,EDİRNE,PRODUCT_A,29
526,201702,EDİRNE,PRODUCT_B,1214
527,201702,EDİRNE,PRODUCT_C,139
528,201702,EDİRNE,PRODUCT_V,193
529,201702,EDİRNE,PRODUCT_X,90
530,201702,ELAZIĞ,PRODUCT_A,158
531,201702,ELAZIĞ,PRODUCT_B,2218
532,201702,ELAZIĞ,PRODUCT_C,268
533,201702,ELAZIĞ,PRODUCT_V,9
534,201702,ELAZIĞ,PRODUCT_X,43
535,201702,ERZURUM,PRODUCT_A,12
536,201702,ERZURUM,PRODUCT_B,1254
537,201702,ERZURUM,PRODUCT_C,388
538,201702,ERZURUM,PRODUCT_V,6
539,201702,ERZURUM,PRODUCT_X,122
540,201702,ERZİNCAN,PRODUCT_A,4
541,201702,ERZİNCAN,PRODUCT_B,4
542,201702,ERZİNCAN,PRODUCT_C,133
543,201702,ERZİNCAN,PRODUCT_V,0
544,201702,ERZİNCAN,PRODUCT_X,15
545,201702,ESKİŞEHİR,PRODUCT_A,141
546,201702,ESKİŞEHİR,PRODUCT_B,3462
547,201702,ESKİŞEHİR,PRODUCT_C,390
548,201702,ESKİŞEHİR,PRODUCT_V,36
549,201702,ESKİŞEHİR,PRODUCT_X,230
550,201702,GAZİANTEP,PRODUCT_A,222
551,201702,GAZİANTEP,PRODUCT_B,2876
552,201702,GAZİANTEP,PRODUCT_C,986
553,201702,GAZİANTEP,PRODUCT_V,4
554,201702,GAZİANTEP,PRODUCT_X,1262
555,201702,GÜMÜŞHANE,PRODUCT_A,22
556,201702,GÜMÜŞHANE,PRODUCT_B,16
557,201702,GÜMÜŞHANE,PRODUCT_C,26
558,201702,GÜMÜŞHANE,PRODUCT_V,0
559,201702,GÜMÜŞHANE,PRODUCT_X,19
560,201702,GİRESUN,PRODUCT_A,140
561,201702,GİRESUN,PRODUCT_B,142
562,201702,GİRESUN,PRODUCT_C,85
563,201702,GİRESUN,PRODUCT_V,0
564,201702,GİRESUN,PRODUCT_X,79
565,201702,HAKKARİ,PRODUCT_A,5
566,201702,HAKKARİ,PRODUCT_B,52
