geoName,Xalfu,Period
Batman,0.0,201710
Bayburt,0.0,201710
Bilecik,0.0,201710
Bingöl Province,0.0,201710
Bitlis,0.0,201710
Bolu,0.0,201710
Burdur Province,0.0,201710
Bursa,0.0,201710
Denizli,0.0,201710
Diyarbakır,0.0,201710
Düzce Province,0.0,201710
Edirne,0.0,201710
Elazığ,0.0,201710
Erzincan,0.0,201710
Erzurum,0.0,201710
Eskişehir Province,0.0,201710
Gaziantep,0.0,201710
Giresun,0.0,201710
Gümüşhane,0.0,201710
Hakkâri,0.0,201710
Hatay,0.0,201710
Isparta Province,0.0,201710
Iğdır,0.0,201710
Kahramanmaraş Province,0.0,201710
Karabük,0.0,201710
Karaman,0.0,201710
Kars,0.0,201710
Kastamonu,0.0,201710
Kayseri Province,0.0,201710
Kilis,0.0,201710
Kocaeli,0.0,201710
Konya,0.0,201710
Kütahya,0.0,201710
Kırklareli,0.0,201710
Kırıkkale,0.0,201710
Kırşehir,0.0,201710
Malatya,0.0,201710
Manisa,0.0,201710
Mardin,0.0,201710
Mersin Province,0.0,201710
Muğla Province,0.0,201710
Muş,0.0,201710
Nevşehir,0.0,201710
Niğde,0.0,201710
Ordu,0.0,201710
Osmaniye,0.0,201710
Rize,0.0,201710
Sakarya,0.0,201710
Samsun,0.0,201710
Siirt Province,0.0,201710
Sinop Province,0.0,201710
Sivas,0.0,201710
Tekirdağ,0.0,201710
Tokat,0.0,201710
Trabzon,0.0,201710
Tunceli,0.0,201710
Uşak,0.0,201710
Van,0.0,201710
Yalova Province,0.0,201710
Yozgat,0.0,201710
Zonguldak,0.0,201710
Çanakkale Province,0.0,201710
Çankırı,0.0,201710
Çorum Province,0.0,201710
İstanbul,2.3626373626373627,201710
İzmir,0.0,201710
Şanlıurfa Province,0.0,201710
Şırnak,0.0,201710
Adana,0.0,201711
Adıyaman Province,0.0,201711
Afyonkarahisar Province,0.0,201711
Aksaray,0.0,201711
Amasya Province,0.0,201711
Ankara,9.090909090909092,201711
Antalya,0.0,201711
Ardahan Province,0.0,201711
Artvin,0.0,201711
Aydın Province,0.0,201711
Ağrı,0.0,201711
Balıkesir Province,0.0,201711
Bartın Province,0.0,201711
Batman,0.0,201711
Bayburt,0.0,201711
Bilecik,0.0,201711
Bingöl Province,0.0,201711
Bitlis,0.0,201711
Bolu,0.0,201711
Burdur Province,0.0,201711
Bursa,0.0,201711
Denizli,0.0,201711
Diyarbakır,0.0,201711
Düzce Province,0.0,201711
Edirne,0.0,201711
Elazığ,0.0,201711
Erzincan,0.0,201711
Erzurum,0.0,201711
Eskişehir Province,0.0,201711
Gaziantep,0.0,201711
Giresun,0.0,201711
Gümüşhane,0.0,201711
Hakkâri,0.0,201711
Hatay,0.0,201711
Isparta Province,0.0,201711
Iğdır,0.0,201711
Kahramanmaraş Province,0.0,201711
Karabük,0.0,201711
Karaman,0.0,201711
Kars,0.0,201711
Kastamonu,0.0,201711
Kayseri Province,0.0,201711
Kilis,0.0,201711
Kocaeli,0.0,201711
Konya,0.0,201711
Kütahya,0.0,201711
Kırklareli,0.0,201711
Kırıkkale,0.0,201711
Kırşehir,0.0,201711
Malatya,0.0,201711
Manisa,0.0,201711
Mardin,0.0,201711
Mersin Province,0.0,201711
Muğla Province,0.0,201711
Muş,0.0,201711
Nevşehir,0.0,201711
Niğde,0.0,201711
Ordu,0.0,201711
Osmaniye,0.0,201711
Rize,0.0,201711
Sakarya,0.0,201711
Samsun,0.0,201711
Siirt Province,0.0,201711
Sinop Province,0.0,201711
Sivas,0.0,201711
Tekirdağ,0.0,201711
Tokat,0.0,201711
Trabzon,0.0,201711
Tunceli,0.0,201711
Uşak,0.0,201711
Van,0.0,201711
