geoName,grip,Period
Şanlıurfa Province,0.6772486772486772,201810
Şırnak,0.8042328042328042,201810
Adana,1.0469798657718121,201811
Adıyaman Province,0.37583892617449666,201811
Afyonkarahisar Province,0.912751677852349,201811
Aksaray,0.8322147651006712,201811
Amasya Province,1.3691275167785235,201811
Ankara,0.8590604026845637,201811
Antalya,0.8859060402684564,201811
Ardahan Province,0.0,201811
Artvin,0.9664429530201343,201811
Aydın Province,0.6711409395973155,201811
Ağrı,1.342281879194631,201811
Balıkesir Province,0.6174496644295302,201811
Bartın Province,1.5033557046979866,201811
Batman,0.9395973154362416,201811
Bayburt,1.8791946308724832,201811
Bilecik,0.8859060402684564,201811
Bingöl Province,2.0671140939597317,201811
Bitlis,2.0134228187919465,201811
Bolu,0.5906040268456376,201811
Burdur Province,0.912751677852349,201811
Bursa,0.7785234899328859,201811
Denizli,0.7785234899328859,201811
Diyarbakır,0.7785234899328859,201811
Düzce Province,1.395973154362416,201811
Edirne,0.912751677852349,201811
Elazığ,1.4496644295302012,201811
Erzincan,1.0469798657718121,201811
Erzurum,0.6442953020134228,201811
Eskişehir Province,0.8053691275167785,201811
Gaziantep,0.8859060402684564,201811
Giresun,1.1006711409395973,201811
Gümüşhane,0.0,201811
Hakkâri,1.261744966442953,201811
Hatay,1.0469798657718121,201811
Isparta Province,1.1812080536912752,201811
Iğdır,2.684563758389262,201811
Kahramanmaraş Province,0.8590604026845637,201811
Karabük,0.8322147651006712,201811
Karaman,1.5302013422818792,201811
Kars,1.3691275167785235,201811
Kastamonu,1.1006711409395973,201811
Kayseri Province,0.912751677852349,201811
Kilis,2.0939597315436242,201811
Kocaeli,0.8053691275167785,201811
Konya,1.0469798657718121,201811
Kütahya,0.9395973154362416,201811
Kırklareli,0.7516778523489933,201811
Kırıkkale,0.697986577181208,201811
Kırşehir,0.6711409395973155,201811
Malatya,0.6711409395973155,201811
Manisa,0.7785234899328859,201811
Mardin,1.261744966442953,201811
Mersin Province,0.9664429530201343,201811
Muğla Province,0.912751677852349,201811
Muş,1.0738255033557047,201811
Nevşehir,0.8590604026845637,201811
Niğde,1.1543624161073827,201811
Ordu,1.1006711409395973,201811
Osmaniye,0.7516778523489933,201811
Rize,0.8053691275167785,201811
Sakarya,0.8590604026845637,201811
Samsun,0.8053691275167785,201811
Siirt Province,0.9395973154362416,201811
Sinop Province,2.1476510067114094,201811
Sivas,0.9932885906040269,201811
Tekirdağ,0.8590604026845637,201811
Tokat,1.2348993288590604,201811
Trabzon,0.7516778523489933,201811
Tunceli,2.3624161073825505,201811
Uşak,0.9395973154362416,201811
Van,1.0738255033557047,201811
Yalova Province,1.0738255033557047,201811
Yozgat,1.1812080536912752,201811
Zonguldak,0.6442953020134228,201811
Çanakkale Province,0.7516778523489933,201811
Çankırı,0.9932885906040269,201811
Çorum Province,0.6442953020134228,201811
İstanbul,0.8590604026845637,201811
İzmir,0.8322147651006712,201811
Şanlıurfa Province,0.6174496644295302,201811
Şırnak,0.6174496644295302,201811
Adana,1.2551440329218106,201812
Adıyaman Province,0.5349794238683128,201812
Afyonkarahisar Province,0.8024691358024691,201812
Aksaray,0.823045267489712,201812
Amasya Province,1.3786008230452675,201812
Ankara,1.008230452674897,201812
Antalya,0.9876543209876543,201812
Ardahan Province,0.0,201812
Artvin,1.316872427983539,201812
