,Location,Date,polarity
345,"Ağrı,Turkey",2020-03-31 23:56:22+00:00,-4.0
346,"Ağrı,Turkey",2020-03-31 23:56:23+00:00,1.0
347,"Ağrı,Turkey",2020-03-31 23:56:39+00:00,-1.0
348,"Ağrı,Turkey",2020-03-31 23:56:59+00:00,-1.0
349,"Ağrı,Turkey",2020-03-31 23:57:10+00:00,1.5
350,"Ağrı,Turkey",2020-03-31 23:57:42+00:00,0.0
351,"Ağrı,Turkey",2020-03-31 23:57:45+00:00,-1.0
352,"Ağrı,Turkey",2020-03-31 23:58:06+00:00,-3.0
353,"Ağrı,Turkey",2020-03-31 23:58:22+00:00,-1.0
354,"Ağrı,Turkey",2020-03-31 23:58:36+00:00,0.0
355,"Ağrı,Turkey",2020-03-31 23:58:48+00:00,1.0
356,"Ağrı,Turkey",2020-03-31 23:59:09+00:00,-2.0
357,"Ağrı,Turkey",2020-03-31 23:59:46+00:00,0.0
358,"Balıkesir,Turkey",2017-08-02 13:28:55+00:00,1.0
359,"Balıkesir,Turkey",2018-12-27 07:30:54+00:00,1.0
360,"Balıkesir,Turkey",2018-12-29 15:58:53+00:00,1.0
361,"Balıkesir,Turkey",2019-03-26 07:22:40+00:00,1.0
362,"Balıkesir,Turkey",2019-04-05 08:26:07+00:00,-1.0
363,"Balıkesir,Turkey",2019-04-26 07:44:19+00:00,2.0
364,"Balıkesir,Turkey",2019-05-09 07:41:36+00:00,-1.0
365,"Balıkesir,Turkey",2019-06-01 07:36:07+00:00,4.0
366,"Balıkesir,Turkey",2019-09-02 07:45:55+00:00,-2.0
367,"Balıkesir,Turkey",2019-10-19 07:40:06+00:00,-2.0
368,"Balıkesir,Turkey",2019-11-20 06:09:02+00:00,0.0
369,"Balıkesir,Turkey",2019-11-23 06:17:06+00:00,1.0
370,"Balıkesir,Turkey",2020-03-19 19:38:55+00:00,1.0
371,"Bartın,Turkey",2020-03-17 22:33:12+00:00,-1.0
372,"Batman,Turkey",2018-09-16 14:53:11+00:00,1.0
373,"Bingöl,Turkey",2020-03-31 23:47:08+00:00,1.0
374,"Bingöl,Turkey",2020-03-31 23:47:21+00:00,-1.0
375,"Bingöl,Turkey",2020-03-31 23:47:41+00:00,-1.0
376,"Bingöl,Turkey",2020-03-31 23:47:50+00:00,-3.0
377,"Bingöl,Turkey",2020-03-31 23:48:20+00:00,-1.0
378,"Bingöl,Turkey",2020-03-31 23:48:32+00:00,1.0
379,"Bingöl,Turkey",2020-03-31 23:48:47+00:00,-1.0
380,"Bingöl,Turkey",2020-03-31 23:49:12+00:00,-1.0
381,"Bingöl,Turkey",2020-03-31 23:49:21+00:00,0.0
382,"Bingöl,Turkey",2020-03-31 23:49:23+00:00,1.0
383,"Bingöl,Turkey",2020-03-31 23:50:11+00:00,-1.0
384,"Bingöl,Turkey",2020-03-31 23:50:12+00:00,2.0
385,"Bingöl,Turkey",2020-03-31 23:50:33+00:00,1.0
386,"Bingöl,Turkey",2020-03-31 23:51:17+00:00,1.0
387,"Bingöl,Turkey",2020-03-31 23:51:21+00:00,-1.0
388,"Bingöl,Turkey",2020-03-31 23:51:38+00:00,-1.0
389,"Bingöl,Turkey",2020-03-31 23:52:01+00:00,-1.5
390,"Bingöl,Turkey",2020-03-31 23:52:08+00:00,-1.0
391,"Bingöl,Turkey",2020-03-31 23:53:13+00:00,-1.0
