Period,Province,Product,Quantity,Month,Year
201701,SAKARYA,PRODUCT_A,137,1,2017
201701,SAKARYA,PRODUCT_B,1399,1,2017
201701,SAKARYA,PRODUCT_C,630,1,2017
201701,SAKARYA,PRODUCT_V,12,1,2017
201701,SAKARYA,PRODUCT_X,364,1,2017
201701,SAMSUN,PRODUCT_A,149,1,2017
201701,SAMSUN,PRODUCT_B,2167,1,2017
201701,SAMSUN,PRODUCT_C,711,1,2017
201701,SAMSUN,PRODUCT_V,6,1,2017
201701,SAMSUN,PRODUCT_X,440,1,2017
201701,SİNOP,PRODUCT_A,20,1,2017
201701,SİNOP,PRODUCT_B,103,1,2017
201701,SİNOP,PRODUCT_C,88,1,2017
201701,SİNOP,PRODUCT_V,0,1,2017
201701,SİNOP,PRODUCT_X,9,1,2017
201701,SİVAS,PRODUCT_A,18,1,2017
201701,SİVAS,PRODUCT_B,2068,1,2017
201701,SİVAS,PRODUCT_C,138,1,2017
201701,SİVAS,PRODUCT_V,0,1,2017
201701,SİVAS,PRODUCT_X,31,1,2017
201701,SİİRT,PRODUCT_A,3,1,2017
201701,SİİRT,PRODUCT_B,4,1,2017
201701,SİİRT,PRODUCT_C,214,1,2017
201701,SİİRT,PRODUCT_V,0,1,2017
201701,SİİRT,PRODUCT_X,5,1,2017
201701,TEKİRDAĞ,PRODUCT_A,170,1,2017
201701,TEKİRDAĞ,PRODUCT_B,1388,1,2017
201701,TEKİRDAĞ,PRODUCT_C,679,1,2017
201701,TEKİRDAĞ,PRODUCT_V,21,1,2017
201701,TEKİRDAĞ,PRODUCT_X,207,1,2017
201701,TOKAT,PRODUCT_A,101,1,2017
201701,TOKAT,PRODUCT_B,500,1,2017
201701,TOKAT,PRODUCT_C,128,1,2017
201701,TOKAT,PRODUCT_V,0,1,2017
201701,TOKAT,PRODUCT_X,90,1,2017
201701,TRABZON,PRODUCT_A,196,1,2017
201701,TRABZON,PRODUCT_B,1697,1,2017
201701,TRABZON,PRODUCT_C,311,1,2017
201701,TRABZON,PRODUCT_V,2,1,2017
201701,TRABZON,PRODUCT_X,241,1,2017
201701,TUNCELİ,PRODUCT_A,0,1,2017
201701,TUNCELİ,PRODUCT_B,17,1,2017
201701,TUNCELİ,PRODUCT_C,35,1,2017
201701,TUNCELİ,PRODUCT_V,0,1,2017
201701,TUNCELİ,PRODUCT_X,5,1,2017
201701,UŞAK,PRODUCT_A,88,1,2017
201701,UŞAK,PRODUCT_B,387,1,2017
201701,UŞAK,PRODUCT_C,244,1,2017
201701,UŞAK,PRODUCT_V,8,1,2017
201701,UŞAK,PRODUCT_X,103,1,2017
201701,VAN,PRODUCT_A,13,1,2017
201701,VAN,PRODUCT_B,315,1,2017
201701,VAN,PRODUCT_C,561,1,2017
201701,VAN,PRODUCT_V,0,1,2017
201701,VAN,PRODUCT_X,162,1,2017
201701,YALOVA,PRODUCT_A,71,1,2017
201701,YALOVA,PRODUCT_B,121,1,2017
201701,YALOVA,PRODUCT_C,163,1,2017
201701,YALOVA,PRODUCT_V,5,1,2017
201701,YALOVA,PRODUCT_X,101,1,2017
201701,YOZGAT,PRODUCT_A,29,1,2017
201701,YOZGAT,PRODUCT_B,765,1,2017
201701,YOZGAT,PRODUCT_C,244,1,2017
201701,YOZGAT,PRODUCT_V,2,1,2017
201701,YOZGAT,PRODUCT_X,75,1,2017
201701,ZONGULDAK,PRODUCT_A,96,1,2017
201701,ZONGULDAK,PRODUCT_B,1904,1,2017
201701,ZONGULDAK,PRODUCT_C,542,1,2017
201701,ZONGULDAK,PRODUCT_V,8,1,2017
201701,ZONGULDAK,PRODUCT_X,541,1,2017
201701,ÇANKIRI,PRODUCT_A,15,1,2017
201701,ÇANKIRI,PRODUCT_B,244,1,2017
201701,ÇANKIRI,PRODUCT_C,115,1,2017
201701,ÇANKIRI,PRODUCT_V,2,1,2017
201701,ÇANKIRI,PRODUCT_X,33,1,2017
201701,ÇORUM,PRODUCT_A,82,1,2017
201701,ÇORUM,PRODUCT_B,122,1,2017
201701,ÇORUM,PRODUCT_C,287,1,2017
201701,ÇORUM,PRODUCT_V,0,1,2017
201701,ÇORUM,PRODUCT_X,54,1,2017
201701,İZMİR,PRODUCT_A,782,1,2017
201701,İZMİR,PRODUCT_B,9458,1,2017
201701,İZMİR,PRODUCT_C,3128,1,2017
201701,İZMİR,PRODUCT_V,565,1,2017
201701,İZMİR,PRODUCT_X,1008,1,2017
201701,İÇEL,PRODUCT_A,236,1,2017
201701,İÇEL,PRODUCT_B,3968,1,2017
201701,İÇEL,PRODUCT_C,722,1,2017
201701,İÇEL,PRODUCT_V,16,1,2017
201701,İÇEL,PRODUCT_X,417,1,2017
201701,ŞANLIURFA,PRODUCT_A,28,1,2017
201701,ŞANLIURFA,PRODUCT_B,656,1,2017
201701,ŞANLIURFA,PRODUCT_C,776,1,2017
201701,ŞANLIURFA,PRODUCT_V,3,1,2017
201701,ŞANLIURFA,PRODUCT_X,460,1,2017
201701,ŞIRNAK,PRODUCT_A,10,1,2017
201701,ŞIRNAK,PRODUCT_B,392,1,2017
201701,ŞIRNAK,PRODUCT_C,283,1,2017
201701,ŞIRNAK,PRODUCT_V,0,1,2017
201701,ŞIRNAK,PRODUCT_X,26,1,2017
201702,ADANA,PRODUCT_A,402,2,2017
201702,ADANA,PRODUCT_B,5275,2,2017
201702,ADANA,PRODUCT_C,960,2,2017
201702,ADANA,PRODUCT_V,98,2,2017
201702,ADANA,PRODUCT_X,915,2,2017
201702,ADIYAMAN,PRODUCT_A,38,2,2017
201702,ADIYAMAN,PRODUCT_B,39,2,2017
201702,ADIYAMAN,PRODUCT_C,250,2,2017
201702,ADIYAMAN,PRODUCT_V,0,2,2017
201702,ADIYAMAN,PRODUCT_X,35,2,2017
201702,AFYON,PRODUCT_A,56,2,2017
201702,AFYON,PRODUCT_B,1972,2,2017
201702,AFYON,PRODUCT_C,459,2,2017
201702,AFYON,PRODUCT_V,-26,2,2017
201702,AFYON,PRODUCT_X,186,2,2017
201702,AKSARAY,PRODUCT_A,19,2,2017
201702,AKSARAY,PRODUCT_B,1690,2,2017
201702,AKSARAY,PRODUCT_C,166,2,2017
201702,AKSARAY,PRODUCT_V,0,2,2017
201702,AKSARAY,PRODUCT_X,79,2,2017
201702,AMASYA,PRODUCT_A,38,2,2017
201702,AMASYA,PRODUCT_B,404,2,2017
201702,AMASYA,PRODUCT_C,173,2,2017
201702,AMASYA,PRODUCT_V,2,2,2017
201702,AMASYA,PRODUCT_X,172,2,2017
201702,ANKARA,PRODUCT_A,1644,2,2017
201702,ANKARA,PRODUCT_B,6320,2,2017
201702,ANKARA,PRODUCT_C,3053,2,2017
201702,ANKARA,PRODUCT_V,822,2,2017
201702,ANKARA,PRODUCT_X,1203,2,2017
201702,ANTALYA,PRODUCT_A,513,2,2017
201702,ANTALYA,PRODUCT_B,5877,2,2017
201702,ANTALYA,PRODUCT_C,1270,2,2017
201702,ANTALYA,PRODUCT_V,1571,2,2017
201702,ANTALYA,PRODUCT_X,515,2,2017
201702,ARDAHAN,PRODUCT_A,7,2,2017
201702,ARDAHAN,PRODUCT_B,3,2,2017
201702,ARDAHAN,PRODUCT_C,21,2,2017
201702,ARDAHAN,PRODUCT_V,0,2,2017
201702,ARDAHAN,PRODUCT_X,5,2,2017
201702,ARTVİN,PRODUCT_A,15,2,2017
201702,ARTVİN,PRODUCT_B,26,2,2017
201702,ARTVİN,PRODUCT_C,66,2,2017
201702,ARTVİN,PRODUCT_V,0,2,2017
201702,ARTVİN,PRODUCT_X,36,2,2017
201702,AYDIN,PRODUCT_A,226,2,2017
201702,AYDIN,PRODUCT_B,3956,2,2017
201702,AYDIN,PRODUCT_C,457,2,2017
201702,AYDIN,PRODUCT_V,176,2,2017
201702,AYDIN,PRODUCT_X,658,2,2017
201702,AĞRI,PRODUCT_A,4,2,2017
201702,AĞRI,PRODUCT_B,1241,2,2017
201702,AĞRI,PRODUCT_C,559,2,2017
201702,AĞRI,PRODUCT_V,0,2,2017
201702,AĞRI,PRODUCT_X,125,2,2017
201702,BALIKESİR,PRODUCT_A,191,2,2017
201702,BALIKESİR,PRODUCT_B,5205,2,2017
201702,BALIKESİR,PRODUCT_C,631,2,2017
201702,BALIKESİR,PRODUCT_V,356,2,2017
201702,BALIKESİR,PRODUCT_X,393,2,2017
201702,BARTIN,PRODUCT_A,9,2,2017
201702,BARTIN,PRODUCT_B,801,2,2017
201702,BARTIN,PRODUCT_C,116,2,2017
201702,BARTIN,PRODUCT_V,2,2,2017
201702,BARTIN,PRODUCT_X,123,2,2017
201702,BATMAN,PRODUCT_A,43,2,2017
201702,BATMAN,PRODUCT_B,187,2,2017
201702,BATMAN,PRODUCT_C,226,2,2017
201702,BATMAN,PRODUCT_V,0,2,2017
201702,BATMAN,PRODUCT_X,25,2,2017
201702,BAYBURT,PRODUCT_A,10,2,2017
201702,BAYBURT,PRODUCT_B,58,2,2017
201702,BAYBURT,PRODUCT_C,35,2,2017
201702,BAYBURT,PRODUCT_V,0,2,2017
201702,BAYBURT,PRODUCT_X,13,2,2017
201702,BINGOL,PRODUCT_A,6,2,2017
201702,BINGOL,PRODUCT_B,116,2,2017
201702,BINGOL,PRODUCT_C,102,2,2017
201702,BINGOL,PRODUCT_V,0,2,2017
201702,BINGOL,PRODUCT_X,0,2,2017
